title,date,original_date,url,line_number
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-21,4/21/26,https://www.youtube.com/watch?v=P8T28yL2rbA,3
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-20,4/20/26,https://www.youtube.com/watch?v=m27yTiBaKlg,8
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-21,4/21/26,https://www.youtube.com/watch?v=P8T28yL2rbA,16
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-20,4/20/26,https://www.youtube.com/watch?v=m27yTiBaKlg,21
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-17,4/17/26,https://www.youtube.com/watch?v=jmUhYDdbxdA,25
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-16,4/16/26,https://www.youtube.com/watch?v=k0If-fRW-zA,30
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-15,4/15/26,https://www.youtube.com/watch?v=3b8PRjjtjHQ,35
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-14,4/14/26,https://www.youtube.com/watch?v=TdkR2LOvjEs,39
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-13,4/13/26,https://www.youtube.com/watch?v=QZQpiaJIv0g,44
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-10,4/10/26,https://www.youtube.com/watch?v=efOAGLpOWIU,49
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-09,4/9/26,https://www.youtube.com/watch?v=EKxhflRrSCg,54
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-08,4/8/26,https://www.youtube.com/watch?v=XBpf3dyJm6I,59
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-07,4/7/26,https://www.youtube.com/watch?v=jvULALF9nM8,64
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-06,4/6/26,https://www.youtube.com/watch?v=R1c3iMXFG1g,69
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-01,4/1/26,https://www.youtube.com/watch?v=j2gT-CQ-r2M,80
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-31,3/31/26,https://www.youtube.com/watch?v=ItGVyl72plg,85
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-29,3/29/26,https://www.youtube.com/watch?v=9qkGUPdu3kQ,90
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-27,3/27/26,https://www.youtube.com/watch?v=vzMYCLirvP8,95
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-26,3/26/26,https://www.youtube.com/watch?v=lFuKhlBhKk4,100
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-25,3/25/26,https://www.youtube.com/watch?v=JP6Kco-2ROw,105
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-24,3/24/26,https://www.youtube.com/watch?v=xlePwN9Rx18,110
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-23,3/23/26,https://www.youtube.com/watch?v=lQBONuID_Kc,115
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-20,3/20/26,https://www.youtube.com/watch?v=Bs3RBV2vDPE,119
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-19,3/19/26,https://www.youtube.com/watch?v=6wMfDiuXfso,124
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-18,3/18/26,https://www.youtube.com/watch?v=4g4SYW7L-u8,129
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-17,3/17/26,https://www.youtube.com/watch?v=PEJ_YPfEvDc,134
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-16,3/16/26,https://www.youtube.com/watch?v=6C2t7TJj26Y,139
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-04,3/4/26,https://www.youtube.com/watch?v=6dZo52-YmO4,163
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-04,3/4/26,https://www.youtube.com/watch?v=6DSZv3c0RMg,169
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-04,3/4/26,https://www.youtube.com/watch?v=A53BlNMwu90,174
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-03,3/3/26,https://www.youtube.com/watch?v=fZ_kuHHUtH8,179
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-02,3/2/26,https://www.youtube.com/watch?v=UCaie8llg9I,184
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-27,2/27/26,https://www.youtube.com/watch?v=e2wcXomM1rI,189
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-26,2/26/26,https://www.youtube.com/watch?v=fx8IU6IgUQQ,194
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-25,2/25/26,https://www.youtube.com/watch?v=8TP8yuNHoiM,199
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-24,2/24/26,https://www.youtube.com/watch?v=EE-mmXPeISg,204
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-23,2/23/26,https://www.youtube.com/watch?v=x4zL5VQhqh8,208
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-20,2/20/26,https://www.youtube.com/watch?v=i9ViMJ_1FtM,212
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-19,2/19/26,https://www.youtube.com/watch?v=_CtxpO2HGkg,216
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-18,2/18/26,https://www.youtube.com/watch?v=UYSKnTj4c0I,221
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-17,2/17/26,https://www.youtube.com/watch?v=ySGdmgEMhew,226
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-16,2/16/26,https://www.youtube.com/watch?v=5xW3e9-oefs,229
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-13,2/13/26,https://www.youtube.com/watch?v=HH1Zc7DtFwQ,232
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-11,2/11/26,https://www.youtube.com/watch?v=RUBbCeiMMEo,240
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-10,2/10/26,https://www.youtube.com/watch?v=2nC8Ok5RJ1E,245
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-09,2/9/26,https://www.youtube.com/watch?v=88qXxSalm8A,249
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-06,2/6/26,https://www.youtube.com/watch?v=lBlR3lgQrPs,254
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-05,2/5/26,https://www.youtube.com/watch?v=r0jb560A23I,259
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-04,2/4/26,https://www.youtube.com/watch?v=70wrPUjI6cE,264
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-03,2/3/26,https://www.youtube.com/watch?v=BCghdO44Aeg,269
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-02-02,2/2/26,https://www.youtube.com/watch?v=LIC3FE8BqZs,274
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-30,1/30/26,https://www.youtube.com/watch?v=auNaDHLlN8Y,279
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-29,1/29/26,https://www.youtube.com/watch?v=2DX3ElJAiJ4,284
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-28,1/28/26,https://www.youtube.com/watch?v=TIPPzDMjm_Q,289
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-27,1/27/26,https://www.youtube.com/watch?v=02PaN-w6BIc,294
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-26,1/26/26,https://www.youtube.com/watch?v=tx5j0KQtaX4,298
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-22,1/22/26,https://www.youtube.com/watch?v=-e4w1sgipEE,303
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-22,1/22/26,https://www.youtube.com/watch?v=S6mqSFjNzZA,308
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-21,1/21/26,https://www.youtube.com/watch?v=WRzJI-fDfag,313
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-20,1/20/26,https://www.youtube.com/watch?v=Ihiiev2Y7ic,318
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-16,1/16/26,https://www.youtube.com/watch?v=Kt3cRUuAls8,323
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-15,1/15/26,https://www.youtube.com/watch?v=skTj6cdX-ZY,328
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-13,1/13/26,https://www.youtube.com/watch?v=OBr5utN9Rx0,337
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-12,1/12/26,https://www.youtube.com/watch?v=0nkLR1jTRVM,342
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-05,1/5/26,https://www.youtube.com/watch?v=buZKTGiThTg,363
TopstepTV: London Open with Aaron Trades - Live Futures Day Trading,2026-01-02,1/2/26,https://www.youtube.com/watch?v=hOqVLAUXb-s,368
